dn
"ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nagel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kusumohamijoyo,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fischerj,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gomeringer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dogan,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=herrmannc,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pintsch,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kasper,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zeilinger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=menz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=woelflick,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lenzc,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=goetzk,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kuhnle,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wagners,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fahrbachc,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gerzimbke,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=grosshans,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mackg,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=prosic,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=stiegenroth,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=juric,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kampffmeyer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=muellert,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bestmann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=barteld,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kassama,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=herrmanna,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=platschke,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vantiem,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=glatz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kurz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=leyh,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wittekh,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wolff,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bieswanger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sakohoess,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=moellers,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schusterm,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wittkowsky,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gerke,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=boessmann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wittwer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kalkbrenner,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=suehl-strohmenger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pollmann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=plieninger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=morlock,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=herb,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bull,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=brauer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=voelpelc,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hildebrandt,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hilkert,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lange,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=aridogan,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=roehm,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wittrowski,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schulzej,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mussin,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=daul,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nerurkar,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schoenfelder,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kronshage,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kuertz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fronemann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=demange,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=klippel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kuhnk,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kruegera,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jimenez,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ulbrichtc,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=meyers,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pandey,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kernwein,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zhangy,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=beckf,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=horns,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gielnik,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kuehn,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hennig,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=claussena,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schicklang,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bakara,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=grubera,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=elasery,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hammerh,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=grimminger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=steinheisser,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hilger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dulay-winkler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=buchholz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=skirl,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=merz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dietriche,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mondial,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wollet,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hirsch,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=volpin,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hardt,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=blut,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bohnensteffen,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rolle,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wuerth,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rechnungspruefer17-1,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rechnungspruefer17-2,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=splichal,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wagnerb,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hamm,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=petrova,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wasella,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=burkhardts,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zaiser,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=akbas,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=xuz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kutz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=grambau,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pruefer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=weissa,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sinclair,ou=userlist,dc=hdm-stuttgart,dc=de"
